title,company_name,location,start_date,duration,stipend,ppo,workmode,region,domain,skills,deadline,degree,RIndex,No. of Positions,regional_language
Business Operations,Pristyn Care,Gurgaon,Immediately,4,8000,Yes,Hybrid,Urban,Operations & Support,"Operations Management, Coordination, MS Excel, Communication",22-09-25,MCom,0,23,Hindi
Online Reputation Management,Motilal Oswal Financial Services Limited,Mumbai,Immediately,4,5000,Yes,Remote,Urban,Operations & Support,"Operations Management, Coordination, MS Excel, Communication",22-09-25,MCom,0.8,4,Marathi
Strategy and Research,Vedantu,Bangalore,Immediately,4,25000,Yes,Hybrid,Urban,Research & Strategy,"Research, Data Analysis, Report Writing, Critical Thinking",17-09-25,BCom,0.3,29,Kannada
Human Resources (HR),Subhansh Sewa Trust,Work From Home,Immediately,4,Unpaid,No,Remote,Rural,Human Resources,"Recruitment, Talent Acquisition, Communication, Interviewing",15-11-25,BBA,1.3,13,Tamil
HR,AU Small Finance Bank,Mumbai,Immediately,4,2000,Yes,Remote,Rural,Human Resources,"Recruitment, Talent Acquisition, Communication, Interviewing",18-10-25,BCom,0.5,10,Marathi
Business Development,CollegeDunia Web Private Limited,Gurgaon,Immediately,4,10000,Yes,Onsite,Urban,Marketing,"Sales, Lead Generation, Negotiation, Communication",04-10-25,MCA,0,9,Hindi
Web Maintenance,Tata Motors,Mumbai,Immediately,4,8000,Yes,Remote,Urban,Research & Strategy,"Python, Machine Learning, TensorFlow/PyTorch, Data Analysis",19-10-25,MTech,0.3,20,Marathi
User Research,Leverage Edu,Noida,Immediately,4,10000,No,Remote,Urban,Research & Strategy,"Research, Data Analysis, Report Writing, Critical Thinking",05-11-25,BBA,0,24,Hindi
Nutraceuticals-Project,Akums Drugs & Pharmaceuticals Limited,Delhi,Immediately,4,12000,Yes,Hybrid,Rural,Content Writing,"PR Strategy, Media Relations, Communication, Writing",22-11-25,BBA,0.5,6,Hindi
Finance & Accounting,Ieng Groups,Bangalore,Immediately,4,5000,Yes,Hybrid,Urban,Finance,"Accounting/Finance, Excel, Financial Analysis, Tally/Valuation",02-11-25,MBA,0.3,29,Kannada
Sales Administration,Fresenius Kabi,Pune,Immediately,4,20000,No,Onsite,Urban,Marketing,"Sales, Lead Generation, Negotiation, Communication",21-09-25,BBA,0,2,Marathi
Marketing And Communications,Zee Entertainment Enterprises Limited,Mumbai,Immediately,4,5000,No,Hybrid,Rural,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing",22-11-25,MBA,1,26,Marathi
Business Development (Sales),Urban Company,Patna,Immediately,4,20000,Yes,Hybrid,Rural,Sales & Business Development,"Sales, Lead Generation, Negotiation, Communication",03-11-25,BSc,1.3,3,Hindi
Human Resources (HR),SILA Group,Bangalore,Immediately,4,8000,Yes,Onsite,Urban,Human Resources,"Recruitment, Talent Acquisition, Communication, Interviewing",11-11-25,BBA,0,15,Kannada
Program Operations,Bharti Foundation,Gurgaon,Immediately,4,17500,No,Remote,Urban,Operations & Support,"PR Strategy, Media Relations, Communication, Writing",05-10-25,MCom,0.8,9,Hindi
Volunteering,International Human Rights Protection Commission,Andhra Pradesh,Immediately,4,Unpaid,No,Hybrid,Rural,Research,"Communication, MS Excel, Research",04-11-25,BBA,1,16,Hindi
Social Entrepreneurship,Subhansh Sewa Trust,Work From Home,Immediately,4,Unpaid,No,Onsite,Rural,Content Writing,"PR Strategy, Media Relations, Communication, Writing",13-10-25,BBA,1,29,Telugu
HR,Gupshup Technology,Mumbai,Immediately,4,10000,Yes,Hybrid,Rural,Human Resources,"Recruitment, Talent Acquisition, Communication, Interviewing",23-09-25,BBA,0.5,21,Marathi
Graphic Design,Bajaj Finance Limited,Pune,Immediately,4,5000,No,Remote,Urban,Design & Creative,"Graphic Design, Photoshop, Illustrator, Canva",23-11-25,BBA,0.8,7,Marathi
Graphic And Content,Hero Vired,Delhi,Immediately,4,20000,Yes,Hybrid,Rural,Design & Creative,"Graphic Design, Photoshop, Illustrator, Canva, Content Writing, Editing",07-12-25,BCom,1.3,23,Hindi
DEI Consulting,Godrej Agrovet Limited,Mumbai,Immediately,4,10000,Yes,Hybrid,Rural,Design,"Consulting, Problem Solving, Communication, Analysis",21-11-25,BBA,1.3,3,Marathi
Fundraising,WWF India,Delhi,Immediately,4,18000,Yes,Remote,Rural,Operations & Support,"Python, Machine Learning, TensorFlow/PyTorch, Data Analysis",23-10-25,BTech,1.3,17,Hindi
Angular UI Development & UI Design,IIT Bombay,Work From Home,Immediately,4,1000,No,Onsite,Urban,Design,"UI Design, UX Research, Figma, Prototyping, HTML, CSS",15-10-25,BTech,1.1,18,Hindi
Teaching GPAT And Pharmacy Exams,Unacademy,Work From Home,Immediately,4,20000,No,Hybrid,Rural,Data Scientist,"Teaching, Lesson Planning, Communication, Mentoring",03-12-25,BBA,0.5,23,Marathi
Business Operations And Research,Benesse India,Delhi,Immediately,4,25000,No,Hybrid,Urban,Operations & Support,"Research, Data Analysis, Report Writing, Critical Thinking",11-11-25,MBA,1.1,19,Hindi
Business Development & Brand Solution,Hungama Digital Media Entertainment Private Limited,Mumbai,Immediately,4,5000,No,Remote,Urban,Marketing,"Sales, Lead Generation, Negotiation, Communication",22-10-25,MCA,0,7,Marathi
Supply Chain & Logistics Operations,Inland World Logistics Private Limited,Coimbatore,Immediately,4,10000,No,Remote,Urban,Operations & Support,"Python, Machine Learning, TensorFlow/PyTorch, Data Analysis, Supply Chain Management, Logistics",28-11-25,MSc,0.3,16,Hindi
Content Writing,HT Media,Mumbai,Immediately,4,3500,No,Remote,Rural,Content & Communication,"Content Writing, Editing, Research, Content Strategy",20-11-25,MSc,0.2,7,Marathi
Motion Design,NoBroker,Bangalore,Immediately,4,12000,Yes,Hybrid,Rural,Design & Creative,"Graphic Design, Photoshop, Illustrator, Canva",12-10-25,BCom,0.5,10,Kannada
Sales Trainee,Pioneer E-Solutions,Gurgaon,Immediately,4,10000,Yes,Remote,Rural,Marketing,"Python, Machine Learning, TensorFlow/PyTorch, Data Analysis, Sales, Lead Generation",05-12-25,MCA,1.3,26,Hindi
Retail Management,Decathlon Sports India,Patna,Immediately,4,7000,No,Onsite,Urban,Research & Strategy,"Python, Machine Learning, TensorFlow/PyTorch, Data Analysis",01-11-25,MCA,0,20,Hindi
Operation Analyst,Apollo247,Gurgaon,Immediately,4,15000,No,Remote,Rural,Research,"Communication, MS Excel, Research",12-11-25,BBA,0.5,9,Hindi
Omni Sports Leadership,Decathlon Sport India Private Limited,Ludhiana,Immediately,4,10000,Yes,Remote,Rural,Research,"Communication, MS Excel, Research",30-11-25,MBA,1,9,Hindi
HR Operations,UpGrad (U Education Management Private Limited),Gurgaon,Immediately,4,10000,No,Remote,Urban,Human Resources,"Recruitment, Talent Acquisition, Communication, Interviewing",07-10-25,MBA,0,9,Hindi
Human Resources (HR),Hungama Digital Media Entertainment Private Limited,Mumbai,Immediately,6,5000,Yes,Hybrid,Rural,Human Resources,"Recruitment, Talent Acquisition, Communication, Interviewing",26-11-25,BBA,0.5,19,Marathi
Omni Sports Leading,Decathlon Sport India Private Limited,Mumbai,Immediately,6,13000,Yes,Hybrid,Urban,Research,"Communication, MS Excel, Research",25-10-25,MBA,0.3,17,Marathi
IT Coordination,Vaibhav Global Limited,Jaipur,Immediately,6,10000,Yes,Remote,Urban,Operations & Support,"Operations Management, Coordination, MS Excel, Communication",31-10-25,MCom,0.3,15,Hindi
Admin,Worldwide Media (Times Group),Mumbai,Immediately,6,5000,No,Remote,Rural,Research,"Communication, MS Excel, Research",23-11-25,BBA,0.5,1,Marathi
Graphic Design,Priyanka Singh,Jaipur,Immediately,6,5000,Yes,Hybrid,Urban,Design & Creative,"Graphic Design, Photoshop, Illustrator, Canva",01-11-25,BBA,0.3,10,Hindi
Software Development Ã¢â‚¬â€œ VÃ„Âgyojaka Tool,IIT Bombay,Work From Home,Immediately,6,3000,Yes,Hybrid,Urban,Marketing,"Sales, Communication, Negotiation, Lead Generation",07-12-25,BTech,0.8,16,Tamil
Product Management,Tynor Orthotics Private Limited,Mohali,Immediately,6,7500,No,Onsite,Urban,Research & Strategy,"PR Strategy, Media Relations, Communication, Writing",18-09-25,BBA,1.1,21,Hindi
Omni Sport Leader,Decathlon Sports India,Pimpri-Chinchwad,Immediately,6,10000,Yes,Onsite,Rural,Research,"Communication, MS Excel, Research",14-10-25,BBA,0.2,14,Hindi
Business Development (Sales),UpGrad (UpGrad Education Private Limited),Nagpur,Immediately,6,2500,No,Remote,Urban,Sales & Business Development,"Sales, Lead Generation, Negotiation, Communication",24-09-25,BCA,0.8,14,Marathi
Graphic Design,Futurionic Private Limited,Work From Home,Immediately,6,5000,Yes,Hybrid,Rural,Design & Creative,"Graphic Design, Photoshop, Illustrator, Canva",02-12-25,BCom,1.3,2,Marathi
Business Development (Sales),Cultfit Healthcare Private Limited,Bangalore,Immediately,6,20000,No,Remote,Urban,Sales & Business Development,"Sales, Lead Generation, Negotiation, Communication",02-12-25,MSc,0,1,Kannada
Human Resources (HR),Subhansh Sewa Trust,Work From Home,Immediately,6,Unpaid,No,Remote,Rural,Human Resources,"Recruitment, Talent Acquisition, Communication, Interviewing",16-10-25,MBA,0.2,24,Gujarati
Youtube Management,Unacademy,Bangalore,Immediately,6,15000,No,Remote,Urban,Operations & Support,"Operations Management, Coordination, MS Excel, Communication",20-11-25,BBA,1.1,14,Kannada
Marketing,Absolute Barbecue Private Limited,Hyderabad,Immediately,6,6000,Yes,Onsite,Urban,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing",02-10-25,MA,0.8,25,Telugu
Event Management,Office Of Advisor To CM,Delhi,Immediately,6,Unpaid,Yes,Onsite,Urban,Operations & Support,"Event Planning, Coordination, Communication, PR",31-10-25,MBA,0.3,2,Hindi
Customer Service,Kalpataru Limited,Mumbai,Immediately,6,10000,Yes,Remote,Urban,Operations & Support,"BPO, Customer Support, Communication, Call Handling",26-09-25,MCom,0.3,9,Marathi
Marketing,Motilal Oswal Financial Services Limited,Mumbai,Immediately,6,5000,No,Hybrid,Rural,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing",11-11-25,MBA,1,19,Marathi
Public Relations,Across The Globe (ATG),Work From Home,Immediately,6,1500,No,Onsite,Urban,Content Writing,"PR Strategy, Media Relations, Communication, Writing",06-12-25,MBA,0.8,29,Telugu
Talent Acquisition,MRCC Solutions,Thane,Immediately,6,10000,No,Remote,Rural,Human Resources,"UI Design, UX Research, Figma, Prototyping, Recruitment, Talent Acquisition",29-10-25,BA,1,26,Hindi
Human Resources (HR),Zucol Group Of Companies,Indore,Immediately,6,5000,Yes,Onsite,Rural,Human Resources,"Recruitment, Talent Acquisition, Communication, Interviewing",14-10-25,MCom,0.2,2,Hindi
Sales (Real Estate),Anarock Property Consultant Private Limited,Pune,Immediately,6,10000,Yes,Onsite,Urban,Marketing,"Sales, Lead Generation, Negotiation, Communication",21-09-25,MCom,1.1,28,Marathi
Customer Experience,Snapdeal,Gurgaon,Immediately,6,10000,Yes,Hybrid,Rural,Research,"Communication, MS Excel, Research",02-12-25,MBA,0.2,19,Hindi
Insurance Consulting,Bajaj Allianz Life Insurance Company Limited,Work From Home,Immediately,6,12000,No,Onsite,Rural,Data Scientist,"Consulting, Problem Solving, Communication, Analysis",19-11-25,BBA,0.2,12,Kannada
Resource Management,Techolution,Hyderabad,Immediately,6,15000,Yes,Remote,Rural,Operations & Support,"Operations Management, Coordination, MS Excel, Communication",17-10-25,MCom,1,22,Telugu
Curriculum Development,Educate Girls,Mumbai,Immediately,6,15000,Yes,Onsite,Urban,Content & Communication,"Content Writing, Editing, Research, Content Strategy, Teaching, Lesson Planning",15-09-25,MCA,1.1,14,Marathi
Digital Marketing,Audi Mumbai West,Mumbai,Immediately,6,15000,Yes,Onsite,Urban,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing",27-10-25,MBA,1.1,1,Marathi
Social Work,INDIA Redefined,Work From Home,Immediately,6,Unpaid,No,Remote,Urban,Research,"Communication, MS Excel, Research",17-09-25,MCom,0.8,29,Punjabi
Lead HR (Admin),Aam Aadmi Party,Work From Home,Immediately,6,Unpaid,No,Hybrid,Urban,Human Resources,"Recruitment, Talent Acquisition, Communication, Interviewing",17-10-25,MBA,1.1,2,Kannada
HR,WWF India,Delhi,Immediately,6,5000,Yes,Onsite,Urban,Human Resources,"Recruitment, Talent Acquisition, Communication, Interviewing",04-10-25,MCom,0.8,11,Hindi
Content Creation & Ideation,Aam Aadmi Party,Work From Home,Immediately,6,Unpaid,Yes,Onsite,Urban,Social Media & Community Management,"Content Writing, Editing, Research, Content Strategy",05-11-25,MSc,0.3,2,Kannada
Operations,Sanghvi Beauty & Technologies Private Limited (MyGlamm),Work From Home,Immediately,6,5000,Yes,Hybrid,Urban,Operations & Support,"Operations Management, Coordination, MS Excel, Communication",13-11-25,MCom,0,24,Gujarati
Technical Finance,Thomas Cook,Mumbai,Immediately,6,6000,Yes,Onsite,Rural,Finance,"Accounting/Finance, Excel, Financial Analysis, Tally/Valuation",03-11-25,MBA,0.5,16,Marathi
Campus Ambassador,Unacademy,Work From Home,Immediately,6,Performance Based,No,Remote,Urban,Marketing,"Marketing, Communication, Networking, Leadership",09-11-25,MCom,1.1,22,Gujarati
Media And Social Media Management,Aam Aadmi Party,Delhi,Immediately,6,Unpaid,Yes,Remote,Rural,Social Media & Community Management,"Social Media Strategy, Content Creation, Analytics, Community Management",10-09-25,BA,0.5,1,Hindi
Digital Media Monitoring/Content Analytics,Aam Aadmi Party,Work From Home,Immediately,6,Unpaid,Yes,Onsite,Urban,Content & Communication,"Python, Data Analysis, SQL, Statistics, Data Visualization, Content Writing",18-10-25,MSc,0.3,15,Gujarati
Human Resources (HR),Alkegen India Private Limited,Pune,Immediately,6,3000,Yes,Remote,Rural,Human Resources,"Recruitment, Talent Acquisition, Communication, Interviewing",10-10-25,MCom,1.3,23,Marathi
Digital And Cartoon Artist,Aam Aadmi Party,Work From Home,Immediately,6,Unpaid,Yes,Hybrid,Rural,Research,"Communication, MS Excel, Research",12-10-25,BBA,1.3,27,Hindi
Content Marketing,IIT Bombay,Work From Home,Immediately,6,1000,No,Remote,Urban,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing, Content Writing, Editing",30-11-25,BA,0.8,24,Bengali
Social Media Research/Scouting,Aam Aadmi Party,Work From Home,Immediately,6,Unpaid,Yes,Hybrid,Urban,Social Media & Community Management,"Social Media Strategy, Content Creation, Analytics, Community Management, Research, Data Analysis",26-09-25,MA,0.8,19,Hindi
Human Resources (HR),Ambit Private Limited,Mumbai,Immediately,6,20000,No,Onsite,Urban,Human Resources,"Recruitment, Talent Acquisition, Communication, Interviewing",26-09-25,BBA,1.1,2,Marathi
Business Development (Sales),MakeMyTrip,Gurgaon,Immediately,3,10000,Yes,Hybrid,Rural,Sales & Business Development,"Sales, Lead Generation, Negotiation, Communication",06-10-25,BCA,0.5,14,Hindi
Video Making/Editing,Aam Aadmi Party,Work From Home,Immediately,3,Unpaid,No,Remote,Rural,Media & Production,"Video Editing, Videography, Premiere Pro, After Effects",12-09-25,BA,0.5,4,Marathi
Social Work,INDIA Redefined,Work From Home,Immediately,3,Unpaid,Yes,Onsite,Urban,Research,"Communication, MS Excel, Research",23-09-25,BBA,1.1,27,Marathi
YouTube Marketing,Saregama India Limited,Chennai,Immediately,3,5000,Yes,Onsite,Rural,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing",19-11-25,BA,0.5,11,Tamil
Marketing,Cuberoutes,Chennai,Immediately,3,12000,Yes,Hybrid,Urban,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing",16-09-25,MBA,0.8,1,Tamil
Marketing (Sunburn),BookMyShow,Mumbai,Immediately,3,7500,No,Hybrid,Urban,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing",03-11-25,MA,1.1,11,Marathi
Content Developement (DIY Videos),K4 Media & Technologies,Jaipur,Immediately,3,10000,Yes,Remote,Urban,Content & Communication,"Content Writing, Editing, Research, Content Strategy, Video Editing, Videography",18-09-25,MTech,0.3,29,Hindi
US Sales Process (Female),Gigde Global Solutions Private Limited,Noida,Immediately,3,15000,Yes,Remote,Urban,Marketing,"Sales, Lead Generation, Negotiation, Communication, PR Strategy, Media Relations",11-11-25,BBA,0,2,Hindi
Chartered Accountancy (CA),H S SABHARWAL & Co,Dehradun,Immediately,3,3000,Yes,Remote,Rural,Research,"Communication, MS Excel, Research",22-11-25,BBA,0.5,26,Hindi
Content Writing (Education),K4 Media & Technologies,Jaipur,Immediately,3,10000,Yes,Hybrid,Rural,Content & Communication,"Content Writing, Editing, Research, Content Strategy",19-09-25,BCom,1,14,Hindi
Computer Operations,K4 Media & Technologies,Jaipur,Immediately,3,10000,No,Remote,Urban,Operations & Support,"Operations Management, Coordination, MS Excel, Communication",06-12-25,MCom,0,17,Hindi
Marketing,MAG Finserv,Pune,Immediately,3,10000,No,Hybrid,Urban,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing",27-11-25,BA,0.3,9,Marathi
Graphic Design,Trivy Technologies Private Limited,Work From Home,Immediately,3,2500,No,Hybrid,Urban,Design & Creative,"Graphic Design, Photoshop, Illustrator, Canva",26-10-25,BCom,0,7,Punjabi
Project Management,HappiMynd,Work From Home,Immediately,3,10000,No,Hybrid,Rural,Content Writing,"PR Strategy, Media Relations, Communication, Writing",10-11-25,BBA,1,23,Bengali
Creative Design,Soyu,Hyderabad,Immediately,3,5000,Yes,Remote,Rural,Design & Creative,"Graphic Design, Photoshop, Illustrator, Canva",07-12-25,MBA,0.5,1,Telugu
Subject Matter Expert (Mathematics) - Doubt Solving,LearnAsYouGo Private Limited,Work From Home,Immediately,3,6000,Yes,Onsite,Urban,Research,"Communication, MS Excel, Research",09-10-25,BCom,0.8,4,Malayalam
Content Writing (Art & Craft),K4 Media & Technologies,Work From Home,Immediately,3,1000,Yes,Hybrid,Urban,Content & Communication,"Content Writing, Editing, Research, Content Strategy",03-12-25,MSc,0.3,6,Gujarati
Content Writing (Fashion & Lifestyle),K4 Media & Technologies,Work From Home,Immediately,3,1000,Yes,Remote,Rural,Content & Communication,"Content Writing, Editing, Research, Content Strategy",19-11-25,PhD,0.2,14,Tamil
Social Entrepreneurship,Hamari Pahchan NGO,Work From Home,Immediately,3,10% of Revenue Generated,No,Hybrid,Rural,Content Writing,"PR Strategy, Media Relations, Communication, Writing",14-09-25,MCom,0.5,17,Gujarati
Web Development,Celebrare,Work From Home,Immediately,3,6000,No,Remote,Urban,Web Development,"HTML, CSS, JavaScript, React",25-09-25,MSc,0.3,23,Bengali
